"ONG","ISU","Context","Tip_actor","Nr_colaborari","Nr_ISU","Descriere"
"Crucea Roșie Română (SNCRR)","AB/AR/BC/BH/BIF/BT/BV/CJ/CL/CS/CV/DB/DJ/HD/IS/MH/MM/MS/NT/OT/SJ/SM/SV/TL/TM/VL/VN/VS","Ambele","humanitarian_ngos","32","28","Acordarea de hrană, apă, obiecte și materiale de îngrijire personală și medicamente pentru refugiații din Ucraina"
"UNHCR","BT/CT/GL/SV/TL/VS","Aflux refugiați","international","6","6","Asistență umanitară"
"Salvați Copiii (Save the Children)","BIF/MM/MS/SV/TL","Aflux refugiați","humanitarian_ngos","5","5","Asigurare transport , cazare, translatori"
"World Central Kitchen","BIF/IS/SV/TL/VS","Aflux refugiați","humanitarian_ngos","5","5","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"Asociatia ""O Masa Calda""","CJ/SM","Ambele","community_orgs","4","2","Furnizarea mâncare caldă pe raza Municipiului Cluj-Napoca"
"Star of Hope","BT/IS/SV/VS","Aflux refugiați","humanitarian_ngos","4","4","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"FUNDAȚIA PENTRU SMURD","SV/TL/TM","Ambele","community_orgs","3","3","asistență persoane"
"OIM / IOM","SV/TL/VS","Aflux refugiați","international","3","3","distribuirea de alimente neperisabile și apă îmbuteliată, sprijin material"
"Organizatia Patronala HORECA Cluj","CJ","Ambele","professional_assoc","3","1","Asigurare de hrană caldă gratuit la cerere"
"Rescue and Response 4x4","CJ","Ambele","volunteer_groups","3","1","Transport produse, persoane și gestionarea bunurilor și a donațiilor materiale în centrele provizorii"
"Serviciul de Ajutor Maltez","MM/SM/SV","Aflux refugiați","humanitarian_ngos","3","3","Colaborarea s-a realizat în vederea asigurării pentru refugianți care sosesc în România prin punctul de trecere a frontierei Sighetu Marmației  de hrană, apă și alte materiale de primă necesitate."
"SOS Satele Copiilor","BC/BIF/SB","Aflux refugiați","humanitarian_ngos","3","3","Asigurare cazare și hrană pentru cetățeni ucraineni veniți în urma conflictului ruso-ucrainean"
"UNICEF","SV/TL/VS","Aflux refugiați","international","3","3","asistență refugiați minori"
"Asociatia ""Caravana Cu Medici""-Filiala Cluj","CJ","Aflux refugiați","community_orgs","2","1","Suport medical de specialitate la centrul de primire al refugiaților"
"Asociatia CERT","CJ","Aflux refugiați","community_orgs","2","1","Colectarea și gestionarea bunurilor și a donațiilor materiale în centrele provizorii"
"Asociatia Ruscovan","CJ","Aflux refugiați","community_orgs","2","1","Colectare și depozitare medicamente Relația cu ONG-urile din Ucraina și cu anumite instituții publice locale"
"Caritas","BH/IS","Aflux refugiați","humanitarian_ngos","2","2","asigurare spații de cazare și masă"
"Consiliul Național Român pentru Refugiați (CNRR)","SV/TL","Aflux refugiați","humanitarian_ngos","2","2","consiliere refugiați"
"Fundatia Parinti din Romania-PEDITEL","CJ","Aflux refugiați","community_orgs","2","1","Asistenta medicala pediatrica gratuită, prin telemedicina, non stop"
"Habitat for Humanity","BIF/TL","Aflux refugiați","humanitarian_ngos","2","2","Asigurare  cazare  și  hrănire în spațiile proprii puse la dispozitie, translatori"
"Terre des Hommes","BIF/BT","Aflux refugiați","humanitarian_ngos","2","2","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"World Vision","IS/VS","Aflux refugiați","humanitarian_ngos","2","2","Furnizează o soluție software (offline mobile app) pentru a putea înregistra și procesa cetățenii străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina și tranzitează România"
