Nume,Descriere
Asociatia Betania,"Asociatia Betania, cu sediul in Str. Nordului 19 bis, cod postal: 600241 – Bacău, cod fiscal 7928353, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr. 56/A/04.11.1995, reprezentata legal de Adrianus Muit, Presedinte;"
Fundatia “Alaturi de Voi” Romania,"Fundatia “Alaturi de Voi” Romania, cu sediul juridic in Iasi, str. Vovideniei nr.10 si sediul social in str. Bazinelor nr.5, sat Uricani, com. Miroslava, jud. Iasi, cod fiscal 14545164, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr.11/F/09.06.2008, reprezentata legal de..."
Asociatia Alternative Sociale,"Asociatia Alternative Sociale cu sediul in Iasi, str. Cuza Voda nr.8A, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr. 37/05.05.1997, cod fiscal 9425315, reprezentata prin Alex Gulei, Director executiv;"
Asociatia Salvati Copiii Iasi,"Asociatia Salvati Copiii Iasi cu sediul in Romania, judetul Iasi, strada Buridava nr. 10, cod fiscal 9943180, reprezentata de catre Corina Mirela Mighiu;"
Centrul de Dezvoltare Sociala,"Centrul de Dezvoltare Sociala T & co cu sediul in Romania, 700115, Iasi, Str. Manolache Draghici, nr.2, cod fiscal 29203305, reprezentat de catre Maria – Roxana Atesoae;"
Fundatia Serviciilor Sociale Bethanya,"Fundatia Serviciilor Sociale Bethany cu sediul in Timisoara, Calea Dorobantilor nr. 4, jud. Timis si punct de lucru in Iasi, str. Varianta Uzinei nr.1, cod fiscal 5481584, reprezentata de Diana Cristea, Presedinte Executiv si de imputernicit Izabela Craciun;"
Fundatia COTE,"Fundatia COTE cu sediul in Romania, cod postal 700724, Iasi, Str. Clopotari nr.38, Bl.673, sc.A, ap.3 cod fiscal 8797140, reprezentata de catre Alis Ghebuta, Director Executiv;"
Centrul Diecezan Caritas Iasi,"Centrul Diecezan Caritas Iasi cu sediul in str. Sarariei, nr.134, cod 700116, cod fiscal 4488681, reprezentat de catre Pr. Egidiu Condac, Director general;"
Fundatia Star of Hope Romania,"Fundatia Star of Hope Romania cu sediul in Iasi, Str. Bariera veche nr.3, Romania, 700198, Iasi, cod fiscal 11369233, reprezentata prin Aurora Vatamaniuc, Presedinte Executiv"
Fundatia World Vision Romania,"Fundatia World Vision Romania, biroul Iasi&Vaslui, cu sediul in str. Sararie, nr. 222, et. 1, Cod fiscal 9232411, reprezentata legal de Catalin Andrew Popa, Director executiv si de imputernicit Magdalena Camanaru."
Institutul pentru Parteneriat Social Bucovina,"Institutul pentru Parteneriat Social Bucovina - INSTITUTUL BUCOVINA, cu sediul in Municipiul Suceava, str. Oituz, nr.30, judetul Suceava, 720201, cod fiscal 28562769, reprezentat legal de Vasi Gafiuc, presedinte."
Asociatia Nationala pentru Copii si Adulti cu Autism din Romania (A.N.C.A.A.R.) – Filiala Iasi,"Filiala Iasi a Asociatia Nationala pentru Copii si Adulti cu Autism din Romania (A.N.C.A.A.R.), cu sediul in str. Sf. Andrei, nr. 67, Iasi, cod fiscal 15530951, reprezentant legal Carmen Gherca, presedinte."
Fundatia ‘Ancora Salvarii’ Iasi,"Fundatia 'Ancora Salvarii' Iasi cu sediul in Str. Pantelimon, nr. 10, Bl. F4, sc.A, parter, ap. 3, Iași, cod fiscal 14857085, reprezentant legal Inga Jose Smelik, presedinte."
Fundatia Centrul de Mediere si Securitate Comunitara,"Fundatia Centrul de Mediere si Securitate Comunitara, cu sediul in str. Pantelimon nr. 32, et. 5, cod postal 700 082, Iasi, cod fiscal 12609547, reprezentata legal de Laura Albu, presedinte."
Fundatia de Dezvoltare Locala “Speranta”,"Fundatia de Dezvoltare Locala “Speranta”, cu sediul social in Targu-Neamt, Str. Slt. Radu Teoharie, Nr. 2, Jud. Neamt, cod 615200, Romania, Cod Fiscal: 7970463, reprezentata prin Elena Velter, presedinte. "
Fundatia de Sprijin Comunitar Bacau (FSC),"Fundatia de Sprijin Comunitar Bacau (FSC) cu sediul in Str. Marasti nr.32 bis, Bacau, Cod fiscal 9626572, reprezentata prin Gabriela Achihai, presedinte. "
Fundatia Enable Romania,"Fundatia Enable Romania, cu sediul in str. Dorobanti, nr. 13, Iasi, cod fiscal 31868483, reprezentata legal de Radu Ionel Tutu-Mitache, presedinte."
Fundatia Inima de Copil,"Fundatia Inima de Copil cu sediul in Bvd. Dunarea, nr. 3, bl. A8, ap. 2, Galati, cod fiscal 9076002, reprezentata legal prin Anna Cristina Burtea, director executiv. "
Fundatia Papadia,"Fundatia Papadia, cu sediul in Str. Saulescu, 33, Iasi, cod postal 700259, cod fiscal 13814841, contact: e-mail: papadia@gmail.com, reprezentata legal prin Elena Ceuca, presedinte."
Fundatia Solidaritate si Speranta,"Fundatia Solidaritate si Speranta cu sediul Iasi, str. Costache Negri, nr. 48, cod postal 700071, cod fiscal 14832064."
ASOCIATIA „CENTRUL DANIEL” Bacau,"ASOCIATIA ""CENTRUL DANIEL"" Bacau, cu sediul in Bacau, Str. Pictor Andreescu nr.5, jud. Bacau, cod fiscal 4670801, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr. 206/1990 din 05.09.2008, reprezentata prin Ionela Catalina Popa, Manager proiecte."
"Asociația de Sprijin a Persoanelor cu Nevoi Speciale-Luceafărul, Neamț","Asociația de Sprijin a Persoanelor cu Nevoi Speciale-Luceafărul, Neamț, cu sediul in Piatra Neamţ, Aleea Ulmilor nr. 24, bl. B3, sc. B, ap. 19, cod 610268, Jud. Neamţ, cod fiscal 15858135, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr. 34/A/2003..."
Asociatia Four Change,"Asociatia Four Change, cu sediul in Str. Moților 13A, Tronson C, ap 5, Sector 3, București, România, Cod Poștal: 031521, cod fiscal 30064634, reprezentata prin Pasare Alina-Aurelia."
Asociația Blijdorp România – Suceava,"Asociația Blijdorp România – Suceava, cu sediul in Str. Ion Irimescu Nr. 9 , jud. Suceava, cod fiscal 12150338, reprezentata prin Ivan Ionel, președinte."
Organizatia Umanitara CONCORDIA,"Organizatia Umanitara CONCORDIA,cu sediul Dr.Regimentului, nr.20D, sector 1, Bucuresti, cod fiscal 5221142, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr.1/1992/PJ, reprezentanti legali prin Cornelia Trandafir si Elena Matache;"
Fundatia Joyo,"Fundatia Joyo, cu sediul in Bucuresti, Sector 6, Str. Lt. Av. Gheorghe Caranda, Nr. 65, cod fiscal 14628952, inregistrata la Reg. Asociatiilor si Fundatiilor sub 27/PJ/2002, reprezentanti legali prin Adriana Constantinescu, Director executiv."
Asociatia United Cristian Aid – Bunul Samaritean,"Asociatia United Cristian Aid - Bunul Samaritean cu sediul in com Nicoresti, Jud Galati, cod postal: 807215, cod fiscal 16291453, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr. 5/2000, reprezentanta legal prin Ionel Melinte"
Asociatia Umanitara Il Chicco,"Asociatia Umanitara Il Chicco, cu sediul in: Iasi, Str. Vasile Lupu, nr. 132, Bl. D1, cod postal: 700345, cod fiscal 6448250, inregistrata in Registrul Asociatiilor si Fundatiilor cu nr. 710/1993 (modificata 59/A/2011), reprezentanta prin Scripcaru Carmen, presedintă."
Fundația “Un Coup de Main d’Emmaus” Iași,"Fundația “Un Coup de Main d’Emmaus” Iași cu sediul in Iasi, str. Costache Negruzzi, cod 700137, cod fiscal 13752820, inregistrata sub numarul 12/F/02/03/2001, reprezentata legal de dna presedinte Aneta Onu."
Asociatia Pro ACT Suport,"Asociatia Pro ACT Suport cu sediul str. soldat Simion Stefan nr 34, sector 4, Bucuresti, cod postal 040589, Cod fiscal 28363960, inregistrata la Reg. Asociatiilor si Fundatiilor sub nr. 19/06.04.2011, reprezentata legal prin Nicoleta-Liliana Predescu."
"Asociatia „Buna ziua, Copii din Romania”","Asociatia „Buna Ziua, Copii din Romania”, cu sediul social B-dul Epureanu, nr. 19, Barlad, jud. Vaslui, cod postal 731071, cod fiscal 12586869, înregistrată in Registrul Asociatiilor si Fundatiilor sub. nr. 4/A din 08.02.2011, reprezentata legal prin dna Mihaela Zanoschi, Președinte."
Organizatia Suedeza pentru Ajutor Umanitar Individual,"Organizatia Suedeza pentru Ajutor Umanitar Individual, cu sediul in Voluntari, Jud. Ilfov, str. Scolii, nr. 5, cod fiscal 8223300, infiintata prin Hotararea Judecatoreasca nr.356/09.12.1992, reprezentata legal de dna Eugen Stefan Stefanescu, Director."
SOS Satele Copiilor Romania,"SOS Satele Copiilor Romania, cu sediul in Bucuresti - Biroul National de Coordonare, sector 1, Str. Calea Floreasca nr. 165; Programul SOS Satul Copiilor Sibiu – oras Cisnadie, judetul Sibiu, Str. Hermann Gmeiner nr. 37; Programul SOS Satul Copiilor Bacau..."
Asociatia Necuvinte,"Asociatia Necuvinte, cu sediul in Str. Ion Campineanu nr 20, Sector 1, București, cod fiscal 32386539, infiintata prin Hotararea Judecatoareasca nr 182/18.10.2013, reprezentata legal de Simona Voicescu, presedinte."
Fundatia Estuar,"Fundatia Estuar, cu sediul in Str. Ion Creanga, nr. 6C, bl. 87, Sc. 1, ap. 1, sector 5, Bucuresti, cod postal 050864, cod fiscal 4829835, inregistrata in Registrul Asociatiilor si Fundatiilor cu nr 3089/B/2006 din 22.11.2016, representata legal de Dr...."
Fundatia Inovatii Sociale Regina Maria,"Fundatia Inovatii Sociale Regina Maria, cu sediul în București, str. Gârlei nr. 88, sector 1, înscrisă în Registrul asociațiilor și fundațiilor aflat la grefa Judecătoriei Sector 1 sub nr. 15/14.07.2010, având cod unic de identificare 27253331, reprezentata legal de Cristiana..."
Fundatia Tanner Romania Mission,"Fundatia Tanner Romania Mission, cu sediul in Com. Nicoresti, Jud. Galati, inregistrata la registrul special Judecatoria Tecuci nr. 1- 2005/ 02.06.2005, CUI 10004590, reprezentata legal de Tanner Bruce Eldon."
Asociatia Sprijinirea Integrarii Sociale,"Asociatia Sprijinirea Integrarii Sociale (ASIS), cu sediul in Aleea Moinesti 24, sector 6, Bucuresti, cod postal: 061239; Cod fiscal: 6347840; Inregistrata la Reg. Asociatiilor si Fundatiilor sub nr. 1111/A/1994; Reprezentant legal: Rodica Gregorian, presedinte; Imputernicit: Luciana Lazarescu, director executiv."
Asociatia Autism Voice,"Asociatia Autism Voice, cu sediul in Str Agricultori, nr 116A, Sector 2, București, cod fiscal 23830437, inregistrată in Registrul Asociațiilor și Fundațiilor cu numărul 1816/A/2008, reprezentata legal de Anca Dumitrescu, presedinte."
Fundatia FARA,"Fundatia FARA, cu sediul in jud Ilfov, oras Popesti Leordeni, str. Anton Pann nr 6A; CIF 33553562; Nr si data inscriere in registrul special al Asociatiilor si Fundatiilor - 6/27.08.2014. Reprezentant legal: Regina Bulai, Director Asociat, Roxana Carmen Girip, Director..."
Asociatia Reaching Out,"Asociatia Reaching Out, cu sediul in Str. Rotaresti DN7 Nr. 136A, com. Bascov, Jud. Arges, cod Postal: 117045, cod fiscal 11974064, reprezentata de catre Iana Matei, presedinte."
Fundatia Hand of Help Botosani,"Fundatia Hand of Help cu sediul in Botosani, strada Pacea, nr.118, cod fiscal 3792045, avand ca reprezentant legal pe dl Mircea Boldea Sr. - director executiv."
Asociația FDP Protagoniști în educație,"Asociatia FDP Protagonisti in educație, cu sediul in str. Albesti nr.14, sector 2 Bucuresti, cod postal 021515, cod fiscal 9019287, inregistrată in Registrul Asociatiilor si Fundatiilor sub nr. 24 din data de 29.06.2018 – Sectiunea II, reprezentata legal de Carmen Elena"
Asociația Niciodată Singur – Prietenii Vârstnicilor,"Asociatia Niciodata Singur – Prietenii Varstnicilor - cu sediul in strada Intrarea Mantuleasa, nr. 4, parter, Sector 2, Bucuresti, cod fiscal 35247128, inregistrata in Registrul Asociatiilor si Fundatiilor sub nr. 21165/A/2015, reprezentata de Valentin Georgescu, in calitate de director executiv."
Asociația Help Autism,"Asociatia Help Autism, cu sediul in str. Diligentei, 13, cam. 1, sect 3 si adresa de corespondenta in str: Intrarea Graurului 9, sect. 3, București, CIF RO26590428, inregistrată in Registrul Asociatiilor si Fundatiilor cu nr 9442/A/2010, reprezentata de Daniela Bololoi, presedinta."
