Source,Target,Type,Weight,context
ONG::Crucea Roșie Română (SNCRR),ISU::AB,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::AR,Undirected,1,Pandemie
ONG::Crucea Roșie Română (SNCRR),ISU::BC,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::BH,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::BIF,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::BT,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::BV,Undirected,2,Ambele
ONG::Crucea Roșie Română (SNCRR),ISU::CJ,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::CL,Undirected,2,Ambele
ONG::Crucea Roșie Română (SNCRR),ISU::CS,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::CV,Undirected,1,Pandemie
ONG::Crucea Roșie Română (SNCRR),ISU::DB,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::DJ,Undirected,2,Ambele
ONG::Crucea Roșie Română (SNCRR),ISU::HD,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::IS,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::MH,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::MM,Undirected,1,Pandemie
ONG::Crucea Roșie Română (SNCRR),ISU::MS,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::NT,Undirected,1,Pandemie
ONG::Crucea Roșie Română (SNCRR),ISU::OT,Undirected,1,Ambele
ONG::Crucea Roșie Română (SNCRR),ISU::SJ,Undirected,1,Pandemie
ONG::Crucea Roșie Română (SNCRR),ISU::SM,Undirected,1,Aflux refugiați
ONG::Crucea Roșie Română (SNCRR),ISU::SV,Undirected,1,Aflux refugiați
